num_votes,rating,tconst,title,year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,runtime
717619,8.5,tt0088763,Back to the Future,1985,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6960.0
382598,8.5,tt2582802,Whiplash,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6420.0
966072,8.5,tt0172495,Gladiator,2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9300.0
831883,8.5,tt0209144,Memento,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6780.0
444103,8.5,tt0078788,Apocalypse Now,1979,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9180.0
827385,8.5,tt0482571,The Prestige,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,7800.0
630562,8.5,tt0110357,The Lion King,1994,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,5340.0
337295,8.5,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700.0
137151,8.5,tt0043014,Sunset Blvd.,1950,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6600.0
553946,8.5,tt0078748,Alien,1979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7020.0
134641,8.5,tt0032553,The Great Dictator,1940,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7500.0
255246,8.5,tt0405094,The Lives of Others,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8220.0
149316,8.5,tt0095765,Cinema Paradiso,1988,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9300.0
934793,8.5,tt1853728,Django Unchained,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9900.0
598678,8.4,tt0081505,The Shining,1980,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8640.0
118730,8.5,tt0050825,Paths of Glory,1957,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5280.0
134779,8.5,tt0095327,Grave of the Fireflies,1988,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5340.0
703391,8.4,tt0910970,WALL·E,2008,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5880.0
1124022,8.5,tt1345836,The Dark Knight Rises,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9840.0
809762,8.4,tt0169547,American Beauty,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7320.0
481122,8.4,tt0090605,Aliens,1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9240.0
217067,8.4,tt0119698,Princess Mononoke,1997,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8040.0
349203,8.4,tt0364569,Oldboy,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7200.0
293638,8.4,tt0033467,Citizen Kane,1941,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7140.0
217207,8.4,tt0053125,North by Northwest,1959,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8160.0
217246,8.4,tt0087843,Once Upon a Time in America,1984,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8340.0
165757,8.4,tt0082096,Das Boot,1981,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14340.0
244145,8.4,tt0052357,Vertigo,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,7740.0
668382,8.4,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7860.0
61513,8.4,tt0051201,Witness for the Prosecution,1957,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6960.0
97473,8.4,tt0022100,M,1931,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,5940.0
652582,8.4,tt0105236,Reservoir Dogs,1992,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5940.0
525530,8.4,tt0211915,Amélie,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7320.0
725148,8.4,tt0112573,Braveheart,1995,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10680.0
563987,8.4,tt0180093,Requiem for a Dream,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6120.0
548066,8.4,tt0066921,A Clockwork Orange,1971,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8160.0
497436,8.3,tt0075314,Taxi Driver,1976,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6780.0
95979,8.4,tt0036775,Double Indemnity,1944,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,6420.0
533273,8.3,tt0435761,Toy Story 3,2010,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6180.0
189519,8.4,tt0056172,Lawrence of Arabia,1962,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,13620.0
211046,8.4,tt0056592,To Kill a Mockingbird,1962,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.0
654748,8.3,tt0338013,Eternal Sunshine of the Spotless Mind,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,6480.0
476183,8.3,tt0093058,Full Metal Jacket,1987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6960.0
266291,8.3,tt0086879,Amadeus,1984,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9600.0
172570,8.3,tt0070735,The Sting,1973,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7740.0
419441,8.3,tt0062622,2001: A Space Odyssey,1968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8940.0
92594,8.3,tt0040522,Bicycle Thieves,1948,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5340.0
147493,8.3,tt0045152,Singin' in the Rain,1952,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6180.0
591974,8.3,tt0208092,Snatch.,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6120.0
610184,8.3,tt0114709,Toy Story,1995,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4860.0
376547,8.3,tt0071853,Monty Python and the Holy Grail,1975,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5460.0
867302,8.3,tt0361748,Inglourious Basterds,2009,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9180.0
65488,8.4,tt0012349,The Kid,1921,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4080.0
408409,8.3,tt0119488,L.A. Confidential,1997,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8280.0
153992,8.3,tt0059578,For a Few Dollars More,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7920.0
107370,8.3,tt0053604,The Apartment,1960,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7500.0
100721,8.3,tt0042876,Rashomon,1950,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5280.0
